title,lokasi,harga,kamar_tidur,luas_bangunan_m2,luas_tanah_m2
Dijual Rumah 2lt Rapi Siap Huni Cluster Foresta BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp4.150.000.000,3,140 m²,208 m²
Dijual Rumah Strategis Nusaloka BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp1.080.000.000,2,50 m²,72 m²
Rumah Kebayoran Residence Bintaro - Semi Furnish - NEGO,"Bintaro, Tangerang Selatan",Rp3.900.000.000,4,120 m²,120 m²
TURUN HARGA  JUAL CEPAT  Rumah Kebayoran Residence Bintaro Jaya -NEGO,"Bintaro, Tangerang Selatan",Rp5.300.000.000,5,252 m²,204 m²
dijual rumah lokasi pamulang harga all in bisa kpr,"Pamulang, Tangerang Selatan",Rp1.470.000.000,3,70 m²,72 m²
Rumah Strategis Dekat Pasar Bukit Pamulang Siap KPR Harga Nego J-15479,"Pamulang, Tangerang Selatan",Rp950.000.000,2,80 m²,82 m²
Harga Murah Rumah 2 lantai Di Mandar Bintaro,"Bintaro, Tangerang Selatan",Rp4.500.000.000,4,300 m²,419 m²
Rumah Minimalis 6 Menit ke Mall Paradise Walk Serpong Bisa KPR J-16869,"Setu, Tangerang Selatan",Rp750.000.000,2,60 m²,50 m²
"Di jual rumah bambu apus pamulang, tangerang selatan","Bambu Apus, Tangerang Selatan",Rp2.700.000.000,5,220 m²,267 m²
Dijual rumah mozzia cluster avezza,"Bumi Serpong Damai, Tangerang Selatan",Rp1.850.000.000,2,154 m²,72 m²
Rumah Luas 154 Siap Huni Di  Perumahan Bukit Indah Mk12055,"Ciputat, Tangerang Selatan",Rp1.700.000.000,5,200 m²,154 m²
Rumah Rumah Siap Huni Di Alam Asri Villa Dago Pamulang Mk12061,"Pamulang, Tangerang Selatan",Rp1.750.000.000,5,240 m²,98 m²
Dijual Rumah di Tangerang Selatan,"Ciputat, Tangerang Selatan",Rp1.500.000.000,2,57 m²,60 m²
Rumah Asri di Kedaung Ciputat,"Ciputat, Tangerang Selatan",Rp1.500.000.000,3,117 m²,202 m²
Rumah harus Laku cepat  di BSD,"Bumi Serpong Damai, Tangerang Selatan",Rp6.500.000.000,4,170 m²,300 m²
Discovery Alton Rumah Mewah 2 Lantai di Bintaro Jaya,"Bintaro, Tangerang Selatan",Rp9.335.000.000,4,152 m²,249 m²
Dijual Rumah Cantik Di Discovery Bintaro 5226,"Bintaro, Tangerang Selatan",Rp2.650.000.000,3,112 m²,105 m²
DIJUAL CEPAT  Rumah siap huni Alam Sutera  Cluster Sutera ORLANDA,"Alam Sutera, Tangerang Selatan",Rp6.600.000.000,4,247 m²,300 m²
Rumah Siap Huni Bisa Untuk Usaha Di Benda Baru Pamulang Mk12175,"Pamulang, Tangerang Selatan",Rp1.500.000.000,2,180 m²,97 m²
DIJUAL RUMAH CLUSTER LUXMORE DI GREENWICH BSD CITY,"Bumi Serpong Damai, Tangerang Selatan",Rp3.800.000.000,4,163 m²,135 m²
Dijual rumah di puri serpong,"Setu, Tangerang Selatan",Rp1.600.000.000,4,200 m²,72 m²
Cluster Kanade Rumah Mewah di BSD City,"Bumi Serpong Damai, Tangerang Selatan",Rp16.000.000.000,5,485 m²,328 m²
Rumah Pamulang Nanotown 4 Tangerang selatan 2 lantai baru nyaman,"Pamulang, Tangerang Selatan",Rp1.462.000.000,3,80 m²,72 m²
Discovery Aluvia Rumah Baru di Bintaro Jaya,"Bintaro, Tangerang Selatan",Rp3.436.000.000,3,110 m²,90 m²
