kamar_tidur,luas_bangunan_m2,luas_tanah_m2,kota,harga
2,60,64,tangerang_selatan,1000000000
4,134,120,tangerang_selatan,3800000000
3,150,103,tangerang_selatan,2300000000
3,143,97,tangerang_selatan,3965000000
3,150,90,tangerang_selatan,2200000000
4,250,237,tangerang_selatan,5600000000
2,52,50,tangerang_selatan,480000000
4,150,105,tangerang_selatan,3000000000
6,450,485,tangerang_selatan,9700000000
4,140,171,tangerang_selatan,4200000000
4,250,162,tangerang_selatan,4100000000
2,42,87,tangerang_selatan,640700000
2,50,72,tangerang_selatan,1550000000
3,180,162,tangerang_selatan,4600000000
2,54,72,tangerang_selatan,960000000
3,84,72,tangerang_selatan,2200000000
3,70,60,tangerang_selatan,740000000
3,93,66,tangerang_selatan,1915000000
3,70,65,tangerang_selatan,879000000
3,260,200,tangerang_selatan,4100000000
4,185,210,tangerang_selatan,5500000000
3,150,178,tangerang_selatan,2900000000
4,180,123,tangerang_selatan,2300000000
3,187,186,tangerang_selatan,4900000000
2,70,87,tangerang_selatan,1400000000
3,150,147,tangerang_selatan,2950000000
3,160,182,tangerang_selatan,3100000000
4,150,200,tangerang_selatan,2250000000
2,69,60,tangerang_selatan,925000000
3,100,135,tangerang_selatan,1700000000
3,70,70,tangerang_selatan,839000000
3,400,333,tangerang_selatan,6950000000
4,200,180,tangerang_selatan,4600000000
4,250,185,tangerang_selatan,4300000000
3,180,187,tangerang_selatan,3650000000
4,60,60,tangerang_selatan,625000000
4,110,84,tangerang_selatan,1800000000
4,170,160,tangerang_selatan,2630000000
6,500,474,tangerang_selatan,12500000000
4,275,300,tangerang_selatan,6850000000
3,140,168,tangerang_selatan,2400000000
5,418,420,tangerang_selatan,17500000000
2,90,86,tangerang_selatan,1699000000
3,140,144,tangerang_selatan,2950000000
3,185,210,tangerang_selatan,4750000000
6,500,474,tangerang_selatan,12500000000
4,500,1400,tangerang_selatan,25000000000
6,423,300,tangerang_selatan,11500000000
3,115,281,tangerang_selatan,2600000000
5,180,120,tangerang_selatan,2000000000
2,40,60,tangerang_selatan,550000000
3,144,72,tangerang_selatan,1300000000
4,300,204,tangerang_selatan,6850000000
